ED_num,reported,candidate,party,votes
ED   18,99.00%,Kamala D. Harris Tim Walz,(Democratic),489
ED   18,99.00%,Donald J. Trump JD Vance,(Republican),52
ED   18,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED   18,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   18,99.00%,WRITE-IN,&nbsp,2
ED   19,99.00%,Kamala D. Harris Tim Walz,(Democratic),532
ED   19,99.00%,Donald J. Trump JD Vance,(Republican),115
ED   19,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED   19,99.00%,Kamala D. Harris Tim Walz,(Working Families),17
ED   19,99.00%,WRITE-IN,&nbsp,16
ED   20,99.00%,Kamala D. Harris Tim Walz,(Democratic),57
ED   20,99.00%,Donald J. Trump JD Vance,(Republican),128
ED   20,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED   20,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED   20,99.00%,WRITE-IN,&nbsp,2
ED   21,99.00%,Kamala D. Harris Tim Walz,(Democratic),110
ED   21,99.00%,Donald J. Trump JD Vance,(Republican),158
ED   21,99.00%,Donald J. Trump JD Vance,(Conservative),9
ED   21,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   21,99.00%,WRITE-IN,&nbsp,10
ED   22,99.00%,Kamala D. Harris Tim Walz,(Democratic),266
ED   22,99.00%,Donald J. Trump JD Vance,(Republican),671
ED   22,99.00%,Donald J. Trump JD Vance,(Conservative),54
ED   22,99.00%,Kamala D. Harris Tim Walz,(Working Families),19
ED   22,99.00%,WRITE-IN,&nbsp,18
ED   23,99.00%,Kamala D. Harris Tim Walz,(Democratic),131
ED   23,99.00%,Donald J. Trump JD Vance,(Republican),536
ED   23,99.00%,Donald J. Trump JD Vance,(Conservative),32
ED   23,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   23,99.00%,WRITE-IN,&nbsp,6
ED   24,99.00%,Kamala D. Harris Tim Walz,(Democratic),211
ED   24,99.00%,Donald J. Trump JD Vance,(Republican),493
ED   24,99.00%,Donald J. Trump JD Vance,(Conservative),33
ED   24,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   24,99.00%,WRITE-IN,&nbsp,14
ED   25,99.00%,Kamala D. Harris Tim Walz,(Democratic),214
ED   25,99.00%,Donald J. Trump JD Vance,(Republican),470
ED   25,99.00%,Donald J. Trump JD Vance,(Conservative),29
ED   25,99.00%,Kamala D. Harris Tim Walz,(Working Families),18
ED   25,99.00%,WRITE-IN,&nbsp,13
ED   26,99.00%,Kamala D. Harris Tim Walz,(Democratic),254
ED   26,99.00%,Donald J. Trump JD Vance,(Republican),579
ED   26,99.00%,Donald J. Trump JD Vance,(Conservative),41
ED   26,99.00%,Kamala D. Harris Tim Walz,(Working Families),23
ED   26,99.00%,WRITE-IN,&nbsp,22
ED   27,99.00%,Kamala D. Harris Tim Walz,(Democratic),270
ED   27,99.00%,Donald J. Trump JD Vance,(Republican),507
ED   27,99.00%,Donald J. Trump JD Vance,(Conservative),20
ED   27,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   27,99.00%,WRITE-IN,&nbsp,16
ED   28,99.00%,Kamala D. Harris Tim Walz,(Democratic),173
ED   28,99.00%,Donald J. Trump JD Vance,(Republican),411
ED   28,99.00%,Donald J. Trump JD Vance,(Conservative),39
ED   28,99.00%,Kamala D. Harris Tim Walz,(Working Families),3
ED   28,99.00%,WRITE-IN,&nbsp,9
ED   29,99.00%,Kamala D. Harris Tim Walz,(Democratic),94
ED   29,99.00%,Donald J. Trump JD Vance,(Republican),499
ED   29,99.00%,Donald J. Trump JD Vance,(Conservative),25
ED   29,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   29,99.00%,WRITE-IN,&nbsp,8
ED   30,99.00%,Kamala D. Harris Tim Walz,(Democratic),110
ED   30,99.00%,Donald J. Trump JD Vance,(Republican),517
ED   30,99.00%,Donald J. Trump JD Vance,(Conservative),28
ED   30,99.00%,Kamala D. Harris Tim Walz,(Working Families),3
ED   30,99.00%,WRITE-IN,&nbsp,9
ED   31,99.00%,Kamala D. Harris Tim Walz,(Democratic),108
ED   31,99.00%,Donald J. Trump JD Vance,(Republican),300
ED   31,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   31,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   31,99.00%,WRITE-IN,&nbsp,6
ED   32,99.00%,Kamala D. Harris Tim Walz,(Democratic),480
ED   32,99.00%,Donald J. Trump JD Vance,(Republican),247
ED   32,99.00%,Donald J. Trump JD Vance,(Conservative),18
ED   32,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   32,99.00%,WRITE-IN,&nbsp,12
ED   33,99.00%,Kamala D. Harris Tim Walz,(Democratic),267
ED   33,99.00%,Donald J. Trump JD Vance,(Republican),544
ED   33,99.00%,Donald J. Trump JD Vance,(Conservative),50
ED   33,99.00%,Kamala D. Harris Tim Walz,(Working Families),20
ED   33,99.00%,WRITE-IN,&nbsp,14
ED   34,99.00%,Kamala D. Harris Tim Walz,(Democratic),295
ED   34,99.00%,Donald J. Trump JD Vance,(Republican),652
ED   34,99.00%,Donald J. Trump JD Vance,(Conservative),53
ED   34,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   34,99.00%,WRITE-IN,&nbsp,12
ED   35,99.00%,Kamala D. Harris Tim Walz,(Democratic),117
ED   35,99.00%,Donald J. Trump JD Vance,(Republican),559
ED   35,99.00%,Donald J. Trump JD Vance,(Conservative),29
ED   35,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED   35,99.00%,WRITE-IN,&nbsp,20
ED   36,99.00%,Kamala D. Harris Tim Walz,(Democratic),108
ED   36,99.00%,Donald J. Trump JD Vance,(Republican),277
ED   36,99.00%,Donald J. Trump JD Vance,(Conservative),18
ED   36,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED   36,99.00%,WRITE-IN,&nbsp,5
ED   37,99.00%,Kamala D. Harris Tim Walz,(Democratic),150
ED   37,99.00%,Donald J. Trump JD Vance,(Republican),296
ED   37,99.00%,Donald J. Trump JD Vance,(Conservative),27
ED   37,99.00%,Kamala D. Harris Tim Walz,(Working Families),1
ED   37,99.00%,WRITE-IN,&nbsp,11
ED   38,99.00%,Kamala D. Harris Tim Walz,(Democratic),61
ED   38,99.00%,Donald J. Trump JD Vance,(Republican),99
ED   38,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED   38,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   38,99.00%,WRITE-IN,&nbsp,10
ED   39,99.00%,Kamala D. Harris Tim Walz,(Democratic),111
ED   39,99.00%,Donald J. Trump JD Vance,(Republican),260
ED   39,99.00%,Donald J. Trump JD Vance,(Conservative),17
ED   39,99.00%,Kamala D. Harris Tim Walz,(Working Families),1
ED   39,99.00%,WRITE-IN,&nbsp,4
ED   40,99.00%,Kamala D. Harris Tim Walz,(Democratic),203
ED   40,99.00%,Donald J. Trump JD Vance,(Republican),347
ED   40,99.00%,Donald J. Trump JD Vance,(Conservative),25
ED   40,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   40,99.00%,WRITE-IN,&nbsp,11
ED   41,99.00%,Kamala D. Harris Tim Walz,(Democratic),147
ED   41,99.00%,Donald J. Trump JD Vance,(Republican),680
ED   41,99.00%,Donald J. Trump JD Vance,(Conservative),51
ED   41,99.00%,Kamala D. Harris Tim Walz,(Working Families),3
ED   41,99.00%,WRITE-IN,&nbsp,7
ED   42,99.00%,Kamala D. Harris Tim Walz,(Democratic),216
ED   42,99.00%,Donald J. Trump JD Vance,(Republican),421
ED   42,99.00%,Donald J. Trump JD Vance,(Conservative),24
ED   42,99.00%,Kamala D. Harris Tim Walz,(Working Families),6
ED   42,99.00%,WRITE-IN,&nbsp,15
ED   43,99.00%,Kamala D. Harris Tim Walz,(Democratic),217
ED   43,99.00%,Donald J. Trump JD Vance,(Republican),392
ED   43,99.00%,Donald J. Trump JD Vance,(Conservative),21
ED   43,99.00%,Kamala D. Harris Tim Walz,(Working Families),18
ED   43,99.00%,WRITE-IN,&nbsp,3
ED   44,99.00%,Kamala D. Harris Tim Walz,(Democratic),186
ED   44,99.00%,Donald J. Trump JD Vance,(Republican),321
ED   44,99.00%,Donald J. Trump JD Vance,(Conservative),14
ED   44,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   44,99.00%,WRITE-IN,&nbsp,6
ED   45,99.00%,Kamala D. Harris Tim Walz,(Democratic),306
ED   45,99.00%,Donald J. Trump JD Vance,(Republican),408
ED   45,99.00%,Donald J. Trump JD Vance,(Conservative),40
ED   45,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   45,99.00%,WRITE-IN,&nbsp,4
ED   46,99.00%,Kamala D. Harris Tim Walz,(Democratic),164
ED   46,99.00%,Donald J. Trump JD Vance,(Republican),314
ED   46,99.00%,Donald J. Trump JD Vance,(Conservative),16
ED   46,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   46,99.00%,WRITE-IN,&nbsp,3
ED   47,99.00%,Kamala D. Harris Tim Walz,(Democratic),232
ED   47,99.00%,Donald J. Trump JD Vance,(Republican),270
ED   47,99.00%,Donald J. Trump JD Vance,(Conservative),19
ED   47,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   47,99.00%,WRITE-IN,&nbsp,3
ED   48,99.00%,Kamala D. Harris Tim Walz,(Democratic),267
ED   48,99.00%,Donald J. Trump JD Vance,(Republican),281
ED   48,99.00%,Donald J. Trump JD Vance,(Conservative),14
ED   48,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   48,99.00%,WRITE-IN,&nbsp,7
ED   49,99.00%,Kamala D. Harris Tim Walz,(Democratic),397
ED   49,99.00%,Donald J. Trump JD Vance,(Republican),128
ED   49,99.00%,Donald J. Trump JD Vance,(Conservative),17
ED   49,99.00%,Kamala D. Harris Tim Walz,(Working Families),17
ED   49,99.00%,WRITE-IN,&nbsp,4
ED   50,99.00%,Kamala D. Harris Tim Walz,(Democratic),337
ED   50,99.00%,Donald J. Trump JD Vance,(Republican),134
ED   50,99.00%,Donald J. Trump JD Vance,(Conservative),5
ED   50,99.00%,Kamala D. Harris Tim Walz,(Working Families),14
ED   50,99.00%,WRITE-IN,&nbsp,7
ED   51,99.00%,Kamala D. Harris Tim Walz,(Democratic),227
ED   51,99.00%,Donald J. Trump JD Vance,(Republican),68
ED   51,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   51,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   51,99.00%,WRITE-IN,&nbsp,1
ED   52,99.00%,Kamala D. Harris Tim Walz,(Democratic),415
ED   52,99.00%,Donald J. Trump JD Vance,(Republican),550
ED   52,99.00%,Donald J. Trump JD Vance,(Conservative),51
ED   52,99.00%,Kamala D. Harris Tim Walz,(Working Families),26
ED   52,99.00%,WRITE-IN,&nbsp,8
ED   53,99.00%,Kamala D. Harris Tim Walz,(Democratic),124
ED   53,99.00%,Donald J. Trump JD Vance,(Republican),112
ED   53,99.00%,Donald J. Trump JD Vance,(Conservative),8
ED   53,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   53,99.00%,WRITE-IN,&nbsp,17
ED   54,99.00%,Kamala D. Harris Tim Walz,(Democratic),72
ED   54,99.00%,Donald J. Trump JD Vance,(Republican),96
ED   54,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   54,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   54,99.00%,WRITE-IN,&nbsp,9
ED   55,99.00%,Kamala D. Harris Tim Walz,(Democratic),227
ED   55,99.00%,Donald J. Trump JD Vance,(Republican),376
ED   55,99.00%,Donald J. Trump JD Vance,(Conservative),21
ED   55,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   55,99.00%,WRITE-IN,&nbsp,11
ED   56,99.00%,Kamala D. Harris Tim Walz,(Democratic),191
ED   56,99.00%,Donald J. Trump JD Vance,(Republican),361
ED   56,99.00%,Donald J. Trump JD Vance,(Conservative),16
ED   56,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   56,99.00%,WRITE-IN,&nbsp,9
ED   57,85.71%,Kamala D. Harris Tim Walz,(Democratic),145
ED   57,85.71%,Donald J. Trump JD Vance,(Republican),337
ED   57,85.71%,Donald J. Trump JD Vance,(Conservative),13
ED   57,85.71%,Kamala D. Harris Tim Walz,(Working Families),11
ED   57,85.71%,WRITE-IN,&nbsp,13
ED   58,99.00%,Kamala D. Harris Tim Walz,(Democratic),244
ED   58,99.00%,Donald J. Trump JD Vance,(Republican),512
ED   58,99.00%,Donald J. Trump JD Vance,(Conservative),21
ED   58,99.00%,Kamala D. Harris Tim Walz,(Working Families),11
ED   58,99.00%,WRITE-IN,&nbsp,8
ED   59,99.00%,Kamala D. Harris Tim Walz,(Democratic),93
ED   59,99.00%,Donald J. Trump JD Vance,(Republican),201
ED   59,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED   59,99.00%,Kamala D. Harris Tim Walz,(Working Families),2
ED   59,99.00%,WRITE-IN,&nbsp,1
ED   60,99.00%,Kamala D. Harris Tim Walz,(Democratic),103
ED   60,99.00%,Donald J. Trump JD Vance,(Republican),281
ED   60,99.00%,Donald J. Trump JD Vance,(Conservative),16
ED   60,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   60,99.00%,WRITE-IN,&nbsp,1
ED   61,99.00%,Kamala D. Harris Tim Walz,(Democratic),195
ED   61,99.00%,Donald J. Trump JD Vance,(Republican),435
ED   61,99.00%,Donald J. Trump JD Vance,(Conservative),19
ED   61,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   61,99.00%,WRITE-IN,&nbsp,14
ED   62,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   62,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   62,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   62,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   62,99.00%,WRITE-IN,&nbsp,0
ED   63,99.00%,Kamala D. Harris Tim Walz,(Democratic),243
ED   63,99.00%,Donald J. Trump JD Vance,(Republican),663
ED   63,99.00%,Donald J. Trump JD Vance,(Conservative),23
ED   63,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   63,99.00%,WRITE-IN,&nbsp,21
ED   64,99.00%,Kamala D. Harris Tim Walz,(Democratic),210
ED   64,99.00%,Donald J. Trump JD Vance,(Republican),515
ED   64,99.00%,Donald J. Trump JD Vance,(Conservative),20
ED   64,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   64,99.00%,WRITE-IN,&nbsp,23
ED   65,99.00%,Kamala D. Harris Tim Walz,(Democratic),61
ED   65,99.00%,Donald J. Trump JD Vance,(Republican),177
ED   65,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   65,99.00%,Kamala D. Harris Tim Walz,(Working Families),2
ED   65,99.00%,WRITE-IN,&nbsp,6
ED   66,99.00%,Kamala D. Harris Tim Walz,(Democratic),150
ED   66,99.00%,Donald J. Trump JD Vance,(Republican),340
ED   66,99.00%,Donald J. Trump JD Vance,(Conservative),8
ED   66,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED   66,99.00%,WRITE-IN,&nbsp,12
ED   67,99.00%,Kamala D. Harris Tim Walz,(Democratic),130
ED   67,99.00%,Donald J. Trump JD Vance,(Republican),313
ED   67,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   67,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED   67,99.00%,WRITE-IN,&nbsp,4
ED   68,99.00%,Kamala D. Harris Tim Walz,(Democratic),99
ED   68,99.00%,Donald J. Trump JD Vance,(Republican),86
ED   68,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED   68,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   68,99.00%,WRITE-IN,&nbsp,1
ED   69,99.00%,Kamala D. Harris Tim Walz,(Democratic),48
ED   69,99.00%,Donald J. Trump JD Vance,(Republican),149
ED   69,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   69,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED   69,99.00%,WRITE-IN,&nbsp,1
ED   70,99.00%,Kamala D. Harris Tim Walz,(Democratic),59
ED   70,99.00%,Donald J. Trump JD Vance,(Republican),211
ED   70,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   70,99.00%,Kamala D. Harris Tim Walz,(Working Families),3
ED   70,99.00%,WRITE-IN,&nbsp,1
ED   71,99.00%,Kamala D. Harris Tim Walz,(Democratic),85
ED   71,99.00%,Donald J. Trump JD Vance,(Republican),470
ED   71,99.00%,Donald J. Trump JD Vance,(Conservative),38
ED   71,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   71,99.00%,WRITE-IN,&nbsp,7
ED   72,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   72,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   72,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   72,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   72,99.00%,WRITE-IN,&nbsp,0
ED   73,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   73,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   73,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   73,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   73,99.00%,WRITE-IN,&nbsp,0
ED   74,81.82%,Kamala D. Harris Tim Walz,(Democratic),0
ED   74,81.82%,Donald J. Trump JD Vance,(Republican),0
ED   74,81.82%,Donald J. Trump JD Vance,(Conservative),0
ED   74,81.82%,Kamala D. Harris Tim Walz,(Working Families),0
ED   74,81.82%,WRITE-IN,&nbsp,0
Total,,Kamala D. Harris Tim Walz,(Democratic),18500
Total,,Donald J. Trump JD Vance,(Republican),20033
Total,,Donald J. Trump JD Vance,(Conservative),1321
Total,,Kamala D. Harris Tim Walz,(Working Families),755
Total,,WRITE-IN,&nbsp,611
ED    1,99.00%,Kamala D. Harris Tim Walz,(Democratic),28
ED    1,99.00%,Donald J. Trump JD Vance,(Republican),11
ED    1,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED    1,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED    1,99.00%,WRITE-IN,&nbsp,0
ED    2,99.00%,Kamala D. Harris Tim Walz,(Democratic),476
ED    2,99.00%,Donald J. Trump JD Vance,(Republican),34
ED    2,99.00%,Donald J. Trump JD Vance,(Conservative),5
ED    2,99.00%,Kamala D. Harris Tim Walz,(Working Families),91
ED    2,99.00%,WRITE-IN,&nbsp,18
ED    3,99.00%,Kamala D. Harris Tim Walz,(Democratic),597
ED    3,99.00%,Donald J. Trump JD Vance,(Republican),27
ED    3,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED    3,99.00%,Kamala D. Harris Tim Walz,(Working Families),141
ED    3,99.00%,WRITE-IN,&nbsp,35
ED    4,99.00%,Kamala D. Harris Tim Walz,(Democratic),568
ED    4,99.00%,Donald J. Trump JD Vance,(Republican),38
ED    4,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED    4,99.00%,Kamala D. Harris Tim Walz,(Working Families),107
ED    4,99.00%,WRITE-IN,&nbsp,29
ED    5,99.00%,Kamala D. Harris Tim Walz,(Democratic),550
ED    5,99.00%,Donald J. Trump JD Vance,(Republican),66
ED    5,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED    5,99.00%,Kamala D. Harris Tim Walz,(Working Families),107
ED    5,99.00%,WRITE-IN,&nbsp,23
ED    6,99.00%,Kamala D. Harris Tim Walz,(Democratic),639
ED    6,99.00%,Donald J. Trump JD Vance,(Republican),111
ED    6,99.00%,Donald J. Trump JD Vance,(Conservative),8
ED    6,99.00%,Kamala D. Harris Tim Walz,(Working Families),119
ED    6,99.00%,WRITE-IN,&nbsp,39
ED    7,99.00%,Kamala D. Harris Tim Walz,(Democratic),745
ED    7,99.00%,Donald J. Trump JD Vance,(Republican),62
ED    7,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED    7,99.00%,Kamala D. Harris Tim Walz,(Working Families),99
ED    7,99.00%,WRITE-IN,&nbsp,21
ED    8,99.00%,Kamala D. Harris Tim Walz,(Democratic),374
ED    8,99.00%,Donald J. Trump JD Vance,(Republican),42
ED    8,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED    8,99.00%,Kamala D. Harris Tim Walz,(Working Families),37
ED    8,99.00%,WRITE-IN,&nbsp,9
ED    9,99.00%,Kamala D. Harris Tim Walz,(Democratic),673
ED    9,99.00%,Donald J. Trump JD Vance,(Republican),45
ED    9,99.00%,Donald J. Trump JD Vance,(Conservative),7
ED    9,99.00%,Kamala D. Harris Tim Walz,(Working Families),51
ED    9,99.00%,WRITE-IN,&nbsp,13
ED   10,99.00%,Kamala D. Harris Tim Walz,(Democratic),763
ED   10,99.00%,Donald J. Trump JD Vance,(Republican),62
ED   10,99.00%,Donald J. Trump JD Vance,(Conservative),8
ED   10,99.00%,Kamala D. Harris Tim Walz,(Working Families),31
ED   10,99.00%,WRITE-IN,&nbsp,8
ED   11,99.00%,Kamala D. Harris Tim Walz,(Democratic),635
ED   11,99.00%,Donald J. Trump JD Vance,(Republican),51
ED   11,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   11,99.00%,Kamala D. Harris Tim Walz,(Working Families),129
ED   11,99.00%,WRITE-IN,&nbsp,33
ED   12,99.00%,Kamala D. Harris Tim Walz,(Democratic),670
ED   12,99.00%,Donald J. Trump JD Vance,(Republican),46
ED   12,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED   12,99.00%,Kamala D. Harris Tim Walz,(Working Families),57
ED   12,99.00%,WRITE-IN,&nbsp,16
ED   13,99.00%,Kamala D. Harris Tim Walz,(Democratic),731
ED   13,99.00%,Donald J. Trump JD Vance,(Republican),53
ED   13,99.00%,Donald J. Trump JD Vance,(Conservative),9
ED   13,99.00%,Kamala D. Harris Tim Walz,(Working Families),81
ED   13,99.00%,WRITE-IN,&nbsp,19
ED   14,99.00%,Kamala D. Harris Tim Walz,(Democratic),581
ED   14,99.00%,Donald J. Trump JD Vance,(Republican),54
ED   14,99.00%,Donald J. Trump JD Vance,(Conservative),7
ED   14,99.00%,Kamala D. Harris Tim Walz,(Working Families),54
ED   14,99.00%,WRITE-IN,&nbsp,22
ED   15,99.00%,Kamala D. Harris Tim Walz,(Democratic),696
ED   15,99.00%,Donald J. Trump JD Vance,(Republican),46
ED   15,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED   15,99.00%,Kamala D. Harris Tim Walz,(Working Families),48
ED   15,99.00%,WRITE-IN,&nbsp,10
ED   16,99.00%,Kamala D. Harris Tim Walz,(Democratic),611
ED   16,99.00%,Donald J. Trump JD Vance,(Republican),49
ED   16,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED   16,99.00%,Kamala D. Harris Tim Walz,(Working Families),33
ED   16,99.00%,WRITE-IN,&nbsp,11
ED   17,99.00%,Kamala D. Harris Tim Walz,(Democratic),657
ED   17,99.00%,Donald J. Trump JD Vance,(Republican),47
ED   17,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED   17,99.00%,Kamala D. Harris Tim Walz,(Working Families),34
ED   17,99.00%,WRITE-IN,&nbsp,17
ED   18,99.00%,Kamala D. Harris Tim Walz,(Democratic),494
ED   18,99.00%,Donald J. Trump JD Vance,(Republican),45
ED   18,99.00%,Donald J. Trump JD Vance,(Conservative),3
ED   18,99.00%,Kamala D. Harris Tim Walz,(Working Families),31
ED   18,99.00%,WRITE-IN,&nbsp,11
ED   19,99.00%,Kamala D. Harris Tim Walz,(Democratic),636
ED   19,99.00%,Donald J. Trump JD Vance,(Republican),72
ED   19,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   19,99.00%,Kamala D. Harris Tim Walz,(Working Families),104
ED   19,99.00%,WRITE-IN,&nbsp,17
ED   20,99.00%,Kamala D. Harris Tim Walz,(Democratic),657
ED   20,99.00%,Donald J. Trump JD Vance,(Republican),39
ED   20,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED   20,99.00%,Kamala D. Harris Tim Walz,(Working Families),75
ED   20,99.00%,WRITE-IN,&nbsp,9
ED   21,99.00%,Kamala D. Harris Tim Walz,(Democratic),607
ED   21,99.00%,Donald J. Trump JD Vance,(Republican),55
ED   21,99.00%,Donald J. Trump JD Vance,(Conservative),9
ED   21,99.00%,Kamala D. Harris Tim Walz,(Working Families),58
ED   21,99.00%,WRITE-IN,&nbsp,18
ED   22,99.00%,Kamala D. Harris Tim Walz,(Democratic),548
ED   22,99.00%,Donald J. Trump JD Vance,(Republican),86
ED   22,99.00%,Donald J. Trump JD Vance,(Conservative),8
